TECH	2015_2020	2020_2025	2025_2030	2030_2035	2035_2040	2040_2045	2045_2050	
 NUCLEAR	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 CCGT	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 COAL_US	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 729.094656	
 COAL_IGCC	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 PV	 126219.612603	 110047.027078	 120206.944726	 98216.555171	 85292.124392	 108681.020759	 91750.721684	
 WIND_ONSHORE	 8767.510339	 0.000000	 0.000000	 0.000000	 0.000000	 863.231323	 5609.123719	
 WIND_OFFSHORE	 0.000000	 4139.096393	 0.000000	 0.000000	 0.000000	 784.823358	 0.000000	
 HYDRO_RIVER	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 GEOTHERMAL	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 IND_COGEN_GAS	 0.000000	 2260.842801	 0.000000	 1569.484189	 214.605579	 0.000000	 982.790066	
 IND_COGEN_WOOD	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 IND_COGEN_WASTE	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 IND_BOILER_GAS	 0.000000	 34.115237	 122.075907	 0.000000	 0.000000	 61.810666	 127.174509	
 IND_BOILER_WOOD	 144.881762	 146.502805	 0.000000	 88.702853	 69.519647	 40.234586	 192.717405	
 IND_BOILER_OIL	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 IND_BOILER_COAL	 0.000000	 0.000000	 0.000000	 107.016555	 61.486072	 7.808397	 0.000000	
 IND_BOILER_WASTE	 176.184048	 54.530765	 26.307956	 291.682296	 14.751323	 0.000000	 0.000000	
 IND_DIRECT_ELEC	 2157.311228	 169.861119	 0.000000	 1492.165753	 387.649700	 0.000000	 1019.969882	
 DHN_HP_ELEC	 171.339222	 2506.921362	 0.000000	 0.000000	 0.000000	 0.000000	 895.584126	
 DHN_COGEN_GAS	 377.403853	 77.516997	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 DHN_COGEN_WOOD	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 DHN_COGEN_WET_BIOMASS	 19.636770	 1392.535694	 1258.198026	 0.000000	 0.000000	 0.000000	 930.315883	
 DHN_COGEN_WASTE	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 DHN_BOILER_GAS	 0.000000	 13.599807	 15.158909	 0.859664	 0.000000	 0.000000	 0.000000	
 DHN_BOILER_WOOD	 0.000000	 224.609576	 0.000000	 0.000000	 66.193102	 77.695543	 0.000000	
 DHN_BOILER_OIL	 4.570123	 111.213961	 180.817745	 16.280290	 341.762468	 151.181592	 0.000000	
 DHN_DEEP_GEO	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 DHN_SOLAR	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 DEC_HP_ELEC	 0.000000	 0.000000	 4159.942850	 7633.772399	 353.324094	 3327.336549	 6244.279567	
 DEC_THHP_GAS	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 DEC_COGEN_GAS	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 DEC_COGEN_OIL	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 DEC_ADVCOGEN_GAS	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 DEC_ADVCOGEN_H2	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 DEC_BOILER_GAS	 0.000000	 645.518052	 2073.117638	 0.000000	 0.000000	 0.000000	 0.000000	
 DEC_BOILER_WOOD	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 DEC_BOILER_OIL	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 DEC_SOLAR	 0.000000	 0.000000	 5480.127311	 16331.425714	 0.000000	 0.000000	 0.000000	
 DEC_DIRECT_ELEC	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 TRAMWAY_TROLLEY	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 BUS_COACH_DIESEL	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 BUS_COACH_HYDIESEL	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 BUS_COACH_CNG_STOICH	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 BUS_COACH_FC_HYBRIDH2	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 TRAIN_PUB	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 CAR_GASOLINE	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 CAR_DIESEL	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 CAR_NG	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 CAR_HEV	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 CAR_PHEV	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 CAR_BEV	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 CAR_FUEL_CELL	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 TRAIN_FREIGHT	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 BOAT_FREIGHT_DIESEL	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 BOAT_FREIGHT_NG	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 TRUCK_DIESEL	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 TRUCK_FUEL_CELL	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 TRUCK_NG	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 NON_ENERGY_OIL	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 NON_ENERGY_NG	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 TS_DHN_SEASONAL	 0.000000	 0.000000	 1398.634222	 0.000000	 9010.663103	 213.234857	 0.000000	
 SEASONAL_NG	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 15.885114	 0.000000	
 SEASONAL_H2	 0.000000	 0.000000	 0.000000	 20684.095365	 0.000000	 5196.250145	 0.000000	
 CO2_STORAGE	 0.000000	 0.000000	 0.000000	 0.000000	 50092.505838	 28004.076527	 39406.251344	
 EFFICIENCY	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 DHN	 732.382173	 9863.135522	 2923.437052	 0.000000	 0.000000	 0.000000	 0.000000	
 GRID	 2059.273429	 1721.141696	 1838.389387	 1502.078545	 1262.342589	 331.712657	 243.253939	
 H2_ELECTROLYSIS	 978.524925	 2219.848492	 1304.484748	 985.058548	 1752.249434	 1162.875268	 787.900562	
 H2_NG	 0.000000	 645.397924	 112.691882	 0.000000	 0.000000	 0.000000	 0.000000	
 H2_BIOMASS	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 GASIFICATION_SNG	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
