Name	GWP_constr	GWP_op
NUCLEAR	69.903150	0.000000
CCGT	28.855030	0.000000
COAL_US	0.000000	0.000000
COAL_IGCC	0.000000	0.000000
PV	11227.419071	0.000000
WIND_ONSHORE	311.425000	0.000000
WIND_OFFSHORE	22.173460	0.000000
HYDRO_RIVER	5.209132	0.000000
GEOTHERMAL	0.000000	0.000000
IND_COGEN_GAS	106.679196	0.000000
IND_COGEN_WOOD	0.000000	0.000000
IND_COGEN_WASTE	9.147218	0.000000
IND_BOILER_GAS	3.400320	0.000000
IND_BOILER_WOOD	2.217186	0.000000
IND_BOILER_OIL	1.679868	0.000000
IND_BOILER_COAL	8.853784	0.000000
IND_BOILER_WASTE	2.696218	0.000000
IND_DIRECT_ELEC	0.660262	0.000000
DHN_HP_ELEC	3.907095	0.000000
DHN_COGEN_GAS	12.335839	0.000000
DHN_COGEN_WOOD	2.400592	0.000000
DHN_COGEN_WET_BIOMASS	0.567986	0.000000
DHN_COGEN_WASTE	1.321553	0.000000
DHN_BOILER_GAS	0.238428	0.000000
DHN_BOILER_WOOD	0.000000	0.000000
DHN_BOILER_OIL	0.152530	0.000000
DHN_DEEP_GEO	0.242628	0.000000
DHN_SOLAR	0.000000	0.000000
DEC_HP_ELEC	6.038762	0.000000
DEC_THHP_GAS	0.000000	0.000000
DEC_COGEN_GAS	24.912346	0.000000
DEC_COGEN_OIL	0.000000	0.000000
DEC_ADVCOGEN_GAS	0.000000	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000
DEC_BOILER_GAS	29.782809	0.000000
DEC_BOILER_WOOD	2.317656	0.000000
DEC_BOILER_OIL	35.960315	0.000000
DEC_SOLAR	402.848350	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000
TRAMWAY_TROLLEY	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000
TRAIN_PUB	0.000000	0.000000
CAR_GASOLINE	0.000000	0.000000
CAR_DIESEL	0.000000	0.000000
CAR_NG	0.000000	0.000000
CAR_HEV	0.000000	0.000000
CAR_PHEV	0.000000	0.000000
CAR_BEV	0.000000	0.000000
CAR_FUEL_CELL	0.000000	0.000000
TRAIN_FREIGHT	0.000000	0.000000
BOAT_FREIGHT_DIESEL	0.000000	0.000000
BOAT_FREIGHT_NG	0.000000	0.000000
TRUCK_DIESEL	0.000000	0.000000
TRUCK_FUEL_CELL	0.000000	0.000000
TRUCK_NG	0.000000	0.000000
NON_ENERGY_OIL	0.000000	0.000000
NON_ENERGY_NG	0.000000	0.000000
TS_DHN_SEASONAL	0.000000	0.000000
SEASONAL_NG	0.000000	0.000000
SEASONAL_H2	0.000000	0.000000
CO2_STORAGE	0.000000	0.000000
EFFICIENCY	0.000000	0.000000
DHN	0.000000	0.000000
GRID	0.000000	0.000000
H2_ELECTROLYSIS	0.000000	0.000000
H2_NG	0.000000	0.000000
H2_BIOMASS	0.000000	0.000000
GASIFICATION_SNG	0.000000	0.000000
PYROLYSIS	0.000000	0.000000
ATM_CCS	0.000000	0.000000
INDUSTRY_CCS	0.000000	0.000000
SYN_METHANATION	0.000000	0.000000
BIOMETHANATION	0.000000	0.000000
ELECTRICITY	0.000000	0.000000
GASOLINE	0.000000	0.000000
DIESEL	0.000000	16273.327449
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	14690.756771
NG	0.000000	47799.616577
SNG	0.000000	0.000000
WOOD	0.000000	204.258000
WET_BIOMASS	0.000000	131.924000
COAL	0.000000	0.000000
URANIUM	0.000000	464.475274
WASTE	0.000000	1470.980000
H2	0.000000	0.000000
ELEC_EXPORT	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000
RES_WIND	0.000000	0.000000
RES_SOLAR	0.000000	0.000000
RES_HYDRO	0.000000	0.000000
RES_GEO	0.000000	0.000000
CO2_ATM	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
